ORDER: #1
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
Build your own (Chicago Style - Pan), Ham, Beef, BBQ Chicken, Sausage, Pepperoni, Green Pepper, Onion, Large, $24.12
[SUBTOTAL: $240.0 | SALES TAX: $ 15.9 | ORDER TOTAL: $255.9]

